batch_id,source_family,aoi_scope,candidate_count,estimated_vlm_calls,action,status,prerequisite,spend_rationale
AOI12_REUSE_EXISTING_VLM,official_ems_gra,emsr884-aoi12-caraballeda,93,0,reuse_existing_results,ready_no_spend,Bind existing rows to v2 IDs from aoi12_vlm_v1_v2_reuse_queue.csv.,No HF spend needed; geometry remap is stable.
AOI12_RETIRE_STALE_VLM,official_ems_gra,emsr884-aoi12-caraballeda,14,0,archive_existing_results,ready_no_spend,Keep retired v1 rows out of public v2 summaries.,"No v2 binding exists, so rerunning would spend on stale geometry."
AOI12_NEW_V2_CHIP_QA_THEN_VLM,official_ems_gra,emsr884-aoi12-caraballeda,61,0,generate_chips_then_run_vlm_if_qa_passes,ready_for_human_review_no_more_hf,Use AOI12 v2 geometries and eligible pre/post Vantor R2 scenes; eligible_pre_scene_count=3. best_r2_pair=B120001100513B10/B040001100075610; common_features=93; automated_chip_qa_pass=51; manual_pilot_ready=32; hf_pilot_records=32; chip_qa=ops/data_acquisition_plan/aoi12_v2_new_chip_qa.csv,Official v2 added features; spend is justified only after chip QA confirms target visibility/alignment.
AOI02_VALIDATE_EXISTING_BEFORE_AFTER,official_ems_gra,emsr884-aoi02-caracas,17,0,validate_existing_results_and_chip_qa,ready_no_spend,Existing before/after rows present; eligible_scene_count=4.,Existing HF run covers AOI02 GRA; spend only if chip QA invalidates a row.
EMSR884_AOI05_SANTA_CRUZ_HOLD,official_ems_gra,emsr884-aoi05-santa-cruz,,0,hold_before_after_vlm,blocked_on_pre_event_imagery,Find high-resolution pre-event coverage; current_gate=blocked_no_vantor_pre_event_coverage; pre_scenes=0; post_scenes=3.,"No useful Vantor pre-event coverage found, so before/after VLM would be low-quality or impossible."
EMSR884_AOI06_MORON_HOLD,official_ems_gra,emsr884-aoi06-moron,,0,hold_before_after_vlm,blocked_on_pre_event_imagery,Find high-resolution pre-event coverage; current_gate=blocked_no_vantor_pre_event_coverage; pre_scenes=0; post_scenes=3.,"No useful Vantor pre-event coverage found, so before/after VLM would be low-quality or impossible."
EMSR884_AOI08_SAN_FELIPE_HOLD,official_ems_gra,emsr884-aoi08-san-felipe,,0,hold_before_after_vlm,blocked_on_pre_event_imagery,Find high-resolution pre-event coverage; current_gate=blocked_no_vantor_pre_event_coverage; pre_scenes=0; post_scenes=5.,"No useful Vantor pre-event coverage found, so before/after VLM would be low-quality or impossible."
EMSR884_AOI10_GUACARA_HOLD,official_ems_gra,emsr884-aoi10-guacara,,0,hold_before_after_vlm,blocked_on_pre_event_imagery,Find high-resolution pre-event coverage; current_gate=blocked_no_vantor_pre_event_coverage; pre_scenes=0; post_scenes=5.,"No useful Vantor pre-event coverage found, so before/after VLM would be low-quality or impossible."
EXTERNAL_MICROSOFT_AI4G_CATIA_LA_MAR_GPKG_OUTSIDE_OFFICIAL_SAMPLE,microsoft_hdx_external_prediction,Microsoft AI4G Catia La Mar GPKG,7028,200,dedupe_chip_qa_sample_then_vlm,blocked_on_dedupe_and_chip_qa,"Spatially dedupe against other external layers, require pre-event/post-event coverage, then sample highest-confidence outside-official candidates.","External high-priority candidates outside official GRA may reveal damage outside official polygons, but full-run spend is not justified before dedupe/sampling."
EXTERNAL_MICROSOFT_AI4G_CARABALLEDA_GPKG_OUTSIDE_OFFICIAL_SAMPLE,microsoft_hdx_external_prediction,Microsoft AI4G Caraballeda GPKG,99,99,dedupe_chip_qa_sample_then_vlm,blocked_on_dedupe_and_chip_qa,"Spatially dedupe against other external layers, require pre-event/post-event coverage, then sample highest-confidence outside-official candidates.","External high-priority candidates outside official GRA may reveal damage outside official polygons, but full-run spend is not justified before dedupe/sampling."
EXTERNAL_MICROSOFT_AI4G_EAST_CATIA_LA_MAR_GPKG_OUTSIDE_OFFICIAL_SAMPLE,microsoft_hdx_external_prediction,Microsoft AI4G East Catia La Mar GPKG,715,200,dedupe_chip_qa_sample_then_vlm,blocked_on_dedupe_and_chip_qa,"Spatially dedupe against other external layers, require pre-event/post-event coverage, then sample highest-confidence outside-official candidates.","External high-priority candidates outside official GRA may reveal damage outside official polygons, but full-run spend is not justified before dedupe/sampling."
EXTERNAL_MICROSOFT_AI4G_LA_GUAIRA_GPKG_OUTSIDE_OFFICIAL_SAMPLE,microsoft_hdx_external_prediction,Microsoft AI4G La Guaira GPKG,55,55,dedupe_chip_qa_sample_then_vlm,blocked_on_dedupe_and_chip_qa,"Spatially dedupe against other external layers, require pre-event/post-event coverage, then sample highest-confidence outside-official candidates.","External high-priority candidates outside official GRA may reveal damage outside official polygons, but full-run spend is not justified before dedupe/sampling."
